AuId: 2145495389  CC: 23
AuId: 2304235484  CC: 6
AuId: 2233088102  CC: 3
AuId: 2310334900  CC: 4
AuId: 18818938  CC: 0
AuId: 2311419746  CC: 48
AuId: 2128631932  CC: 172
AuId: 71603276  CC: 44
AuId: 2064289031  CC: 239
AuId: 2007866360  CC: 85
AuId: 2307237553  CC: 52
AuId: 2218504231  CC: 480
AuId: 2117954064  CC: 491
AuId: 2244587600  CC: 343
AuId: 2236509519  CC: 135
AuId: 156032093  CC: 56
AuId: 2099140817  CC: 94
AuId: 1208674610  CC: 587
AuId: 2190039046  CC: 5391
AuId: 2071859737  CC: 641
AuId: 2309941466  CC: 0
AuId: 2228224884  CC: 5
AuId: 2116208417  CC: 196
AuId: 2299414031  CC: 34
AuId: 2309001048  CC: 474
AuId: 2177892314  CC: 364
AuId: 1972974684  CC: 64
AuId: 2104988345  CC: 11
AuId: 2098845392  CC: 290
AuId: 2004621260  CC: 109
AuId: 2073073233  CC: 966
AuId: 2336553016  CC: 9
AuId: 2097225074  CC: 15
AuId: 2127269863  CC: 22
AuId: 812485365  CC: 20
AuId: 2125312093  CC: 5144
AuId: 2289413801  CC: 6
AuId: 2171047678  CC: 6
AuId: 2275226264  CC: 107
AuId: 1970564368  CC: 228
AuId: 2159428530  CC: 5
AuId: 2006316750  CC: 4656
AuId: 2297593790  CC: 40
AuId: 2041353436  CC: 725
AuId: 2284128797  CC: 0
AuId: 2012891419  CC: 123
AuId: 2084913709  CC: 3953
AuId: 2042624409  CC: 78
AuId: 2343043454  CC: 499
AuId: 2156404274  CC: 36
AuId: 2278803392  CC: 0
AuId: 2153472265  CC: 58
AuId: 2227720983  CC: 5
AuId: 2303933211  CC: 35
AuId: 2127466540  CC: 12
AuId: 2169994326  CC: 8
AuId: 114780919  CC: 158
AuId: 2151359745  CC: 133
AuId: 2298155876  CC: 6
AuId: 1999092113  CC: 318
AuId: 2035277777  CC: 100
AuId: 2146452964  CC: 131
AuId: 2099911422  CC: 56
AuId: 2106015657  CC: 1
AuId: 2325365095  CC: 2
AuId: 2309746194  CC: 1420
AuId: 2296480118  CC: 0
AuId: 2118536950  CC: 790
AuId: 2148788007  CC: 68
AuId: 802464625  CC: 3856
AuId: 2303014303  CC: 20
AuId: 1994630925  CC: 1969
AuId: 2150749159  CC: 23
AuId: 2164851598  CC: 2
AuId: 2266947176  CC: 19
AuId: 2158666052  CC: 7332
AuId: 2303010527  CC: 793
AuId: 2111887378  CC: 2192
AuId: 2178928364  CC: 1
AuId: 2314731252  CC: 38
AuId: 2274730310  CC: 821
AuId: 2264686288  CC: 152
AuId: 2153340682  CC: 8
AuId: 2214667708  CC: 224
AuId: 2165118960  CC: 651
AuId: 2189215356  CC: 252
AuId: 2277675795  CC: 197
AuId: 2303519150  CC: 1
AuId: 2037148364  CC: 393
AuId: 2104574735  CC: 23
AuId: 2141843190  CC: 650
AuId: 1234272480  CC: 413
AuId: 2238223052  CC: 864
AuId: 2159042691  CC: 2
AuId: 1946743123  CC: 151
AuId: 2105630021  CC: 427
AuId: 2297591101  CC: 287
AuId: 2014523160  CC: 97
AuId: 2292078830  CC: 0
AuId: 2327092617  CC: 602
AuId: 2140544028  CC: 89
AuId: 2026648199  CC: 394
AuId: 1983551256  CC: 110
AuId: 2011467707  CC: 169
AuId: 2227140768  CC: 3
AuId: 221290727  CC: 4
AuId: 2304425183  CC: 5
AuId: 2303393156  CC: 93
AuId: 2341325840  CC: 0
AuId: 2264165658  CC: 140
AuId: 1997547662  CC: 377
AuId: 1905890477  CC: 419
AuId: 199127953  CC: 182
AuId: 2173255380  CC: 38
AuId: 2330328472  CC: 1
AuId: 2127346521  CC: 74
AuId: 2008662328  CC: 2485
AuId: 2119665667  CC: 47
AuId: 2301012500  CC: 189
AuId: 2125666636  CC: 979
AuId: 2311318360  CC: 0
AuId: 2120629936  CC: 83
AuId: 2336477360  CC: 3
AuId: 2239778542  CC: 253
AuId: 56222820  CC: 37
AuId: 1986205052  CC: 375
AuId: 2302965884  CC: 2
AuId: 2230632290  CC: 1
