6FE822E2	mats eegolofsson	1992
84D6AB83	sunhee lee	2010
7BC880EA	hoang kiem	2003
75989A82	eugene koontz	2000
80E79A4C	ping wai wong	2000
83321D62	michael strube	1995
82347DAE	qing gu	2015
774BA42C	dan i moldovan	1992
0976654C	nicolas loeff	2006
79646BB9	federica busa	1999
0B08E662	anna samiotou	1994
8025B10E	albert gatt	2006
86318DF5	shomir wilson	2014
066D0AF7	mark hasegawajohnson	2009
85D6CFCD	zushun chen	2005
7FE09175	bin chen	2008
8414D5D9	cetinoglu ozlem	2013
7DD91EE5	wei ku	2006
77DA8D68	glyn morrill	1989
7FA7C5AC	judy delin	1992
863C7B53	suzi park	2014
6FB0016C	dimitar manov	2003
7DF2EBFC	masashi toyoda	2009
81357EAE	nell dale	1965
7F1EC232	liviu p dinu	2005
813A2D1E	nikolaj lindberg	1998
844C4545	donald hindle	1989
862B28FB	jose camachocollados	2015
01A6ADCB	yves grandvalet	2014
775E803F	george saon	2006
7D01D6D8	sanchuan hung	2012
807190D4	hui jiang	2015
470D856B	jens erik fenstad	1987
7FAE303B	wenzhe pei	2014
810F726F	barry s oken	2011
802FFA91	david pierce	1998
7D1179C4	ankur p parikh	2013
7ED59043	haiqin zhang	2003
78792384	petya osenova	2007
158219C6	carlo strapparava	2009
810A7246	anna dickinson	2014
7A2F6F68	grace y chung	2009
84226611	raquel fernandez	2002
7CFD667F	fen zhang	2012
0BAE58B5	nathalie japkowicz	1991
8011FDB0	j d allan	2005
7D065F38	boxing chen	2008
828CAD11	judy robertson	2004
7657F30F	guodong zhou	1998
863298BA	kenneth d forbus	2011
75AAB8E7	nobuko hatada	1980
807F94AB	johannmattis list	2012
7EB5BAC7	anders nygaard	1988
8133BC8F	sungjin lee	2009
7A3331DD	achim rettinger	2014
7FA52BDB	dongdong zhang	2007
79A2F57C	oren glickman	2005
75427C58	peter dienes	2000
758C247B	roi reichart	2012
17233D50	ergun bicici	2008
6ED3B9B5	eleftherios avramidis	2008
78BC1653	brian langner	2008
7EA6C455	linlin wang	2008
7D5DA3C8	erwan moreau	2008
7DBD40D7	sanae fujita	2002
7D0F1BC2	chunghsien wu	2002
7E93482F	o hamon	2008
862AE1E5	r j h scha	2009
8114C9C3	qiang deng	2003
7FF11D2C	xiaojun wan	2006
0D13CF44	andrej ljolje	1991
7F454C7D	pierpaolo basile	2014
8218531B	aravind joshi	1991
82AF7A9F	wei ding	2009
85786162	xing wei	2010
7FC51C30	j f gonzalez	2004
0E595D32	ruslan mitkov	1998
836B6ADE	tingting he	2015
86353C5C	sho hoshino	2015
6CD02ED0	bruce jarrell	2008
7CFEF4D0	koji murakami	2009
72E201AD	erhard w hinrichs	1995
7CF2950A	josemiguel benedi	2000
84E27226	kenji araki	1996
7FB2C00A	zixin jiang	2000
7D765AFB	jessie pinkham	2002
84061E3E	jacopo staiano	2014
80B8B471	christian jacquemin	1998
7DC85764	steve roach	2009
7C871A73	praveen dakwale	2013
8179F1E0	melanie ostendorf	2004
800CCD33	premkumar mani	2010
49D028B7	hideto kazawa	2011
863B917D	yasuo koyama	1998
862DEE37	nazneen fatema rajani	2015
8198231E	beatrice arnulphy	2012
7E35C410	wolfgang menzel	1982
806A3312	erica greene	2010
7D347A8B	james c lester	2002
75971682	gregor leusch	2005
821C4EF7	daniele pighin	2013
7CFBA2E9	leong hwee teo	2000
7DF2DE66	lorraine tanabe	2002
8625EECB	xiaoyun wu	2012
1DEF38CD	svetla boytcheva	2003
863081C4	rebecca resnik	2013
49DFD54F	ariya rastrow	2010
8635B30E	slav petrov	2013
7CC7050D	hema a murthy	2013
7549D8D0	luiz augusto pizzato	2008
7E0C809A	andrew freeman	2006
690E2C68	george c demetriou	2000
274010D5	kaarel kaljurand	2003
7A367FAA	harith alani	2011
85886CB1	kun wang	2013
68C32669	ewa rudnicka	2012
862F5FFE	hao peng	2015
11D4B453	paola velardi	1987
70984B0F	guadalupe aguado de cea	2001
815E102A	alice oh	2012
7D6DEDB1	huizhen wang	2008
28D05282	egidio p giachin	1988
7B5EF654	rebecca finc	1994
7DB0C1A7	ewan klein	1986
7F2769D4	guangping zeng	2009
0917ACF6	shibu yooseph	1995
82B4D079	michael heilman	2011
7F3AD087	jeannette g neal	1982
099205AD	christine d piatko	2003
770DC5EA	neil newbold	2013
0C81419A	roger c schank	1969
7A7FB98B	simon charest	2011
8326BC06	jonghoon lee	2010
8635BFE7	sapan shah	2009
842DDE03	bogdan sacaleanu	2003
55965572	amber e boydstun	2015
816F97AA	amber stubbs	2014
77A407F5	joel macauslan	2013
7F39448E	alicia perez	2010
454F7976	jan hajic	1992
76CF0B72	stefan riezler	1999
7EBBBF58	matthieu constant	2006
7FB63054	alex b fine	2014
7F8A3E9E	mikio yamamoto	2006
7DE14118	weifeng su	2004
7E8050D9	sung dong kim	2000
77C8AE3C	marc poch	2012
86346B15	jorge campos	2015
862DECE0	boban arsenijevic	2006
82798396	sap asia	2012
7EF38DB5	yunqing xia	2004
806DBE1F	tim okeefe	2012
295A2851	mike reape	1988
7F14E5DD	cecile gros	1998
7E7B8914	james r curran	2002
775A7DA7	valentin zhikov	2012
8624142B	tuan anh le	2015
85C637DA	peng li	2014
75DD2BF8	keith bonawitz	2003
8628DBE2	daniel gillick	2014
16E11179	tomek strzalkowski	1983
7F62D6F0	xing yi	2007
7B47BACC	john chen	2006
7F29910E	liangjyh wang	1992
04886638	nick cercone	2006
7DB4B0AA	tomoharu iwata	2010
